Register Address,Hex Address,Raw Value,Scaled x0.1,Scaled x0.01,Signed Value,Register Name (from const.py),Scale Factor,Description

SCAN METADATA
Timestamp,2025-10-29T20:43:43.859315
Host,192.168.4.27:502
Slave ID,1
Inverter Series,sph
Register Map,SPH_3000_10000
Ranges Scanned,"Base Range, Storage Range"

REGISTER DATA

--- Base Range (0-124) ---
0,0x0000,6,0.6,0.06,6,inverter_status,1,"0=Waiting, 1=Normal, 3=Fault, 5=Standby"
1,0x0001,0,0.0,0.00,0,pv_total_power_high,1,Total PV power HIGH word
2,0x0002,0,0.0,0.00,0,pv_total_power_low,1,Total PV power LOW word
3,0x0003,0,0.0,0.00,0,pv1_voltage,0.1,PV1 DC voltage
4,0x0004,0,0.0,0.00,0,pv1_current,0.1,PV1 DC current
5,0x0005,0,0.0,0.00,0,pv1_power_high,1,PV1 power HIGH word
6,0x0006,0,0.0,0.00,0,pv1_power_low,1,PV1 power LOW word
7,0x0007,0,0.0,0.00,0,pv2_voltage,0.1,PV2 DC voltage
8,0x0008,0,0.0,0.00,0,pv2_current,0.1,PV2 DC current
9,0x0009,0,0.0,0.00,0,pv2_power_high,1,PV2 power HIGH word
10,0x000A,0,0.0,0.00,0,pv2_power_low,1,PV2 power LOW word
11,0x000B,1,0.1,0.01,1,,,
12,0x000C,4613,461.3,46.13,4613,,,
13,0x000D,0,0.0,0.00,0,,,
14,0x000E,0,0.0,0.00,0,,,
15,0x000F,0,0.0,0.00,0,,,
16,0x0010,0,0.0,0.00,0,,,
17,0x0011,0,0.0,0.00,0,,,
18,0x0012,0,0.0,0.00,0,,,
19,0x0013,0,0.0,0.00,0,,,
20,0x0014,0,0.0,0.00,0,,,
21,0x0015,0,0.0,0.00,0,,,
22,0x0016,0,0.0,0.00,0,,,
23,0x0017,0,0.0,0.00,0,,,
24,0x0018,0,0.0,0.00,0,,,
25,0x0019,0,0.0,0.00,0,,,
26,0x001A,0,0.0,0.00,0,,,
